text,label,label_text
cant gauge the time of day in my office anymore its worse than a friggin casino in here no waitresses smoking or booze,0,negative
  no way  that sucks b  are you ok,0,negative
my back hurts  have a heating pad on it stupid ladder y did you have to collapse and make me fall on my backbum,0,negative
wow no one loves me  ,0,negative
good morning   httpblipfmjnl,2,positive
 well atm anyway im only managing cos i have no musical talent ps horrible thing to say bout rove,0,negative
gud nite allwill catch you all again tomorrow,2,positive
 belated kay tita  wow  prizes in a day congrats,2,positive
 i kno i doooo yall partyin with out me,0,negative
i looked all cute too,2,positive
 thanks for the follow raises hand i am,2,positive
_ they were some nice pics you have kept  there you seem to carry your cam around along with you,2,positive
 haha i cant a good vid of it on tubeyyou thugh,2,positive
 i know right  but hopefully something comes up though,2,positive
massive headache argh,0,negative
  what did she ever do to piss them off    i thought you just meant castingrelated  not more of that ,0,negative
im gonna eat some chips anybody want some hahaha,2,positive
im very much excited to go back to school,2,positive
ok i am finally starting to hit a draw but now my short game has gone to ,0,negative
 if youre flying to nz wwwhotconz is a great way to get results in aggregate,2,positive
 thanks madam youre lucky coz you had a wonderful dog and sooo cute,2,positive
awww watching  yo britney on snl shes so young and cute and really funny i miss this britney,2,positive
missing  on his birthday,0,negative
exhausted but forced into attending a lockin,0,negative
party was awesome soooo tired bye ps happy mommas day,2,positive
nooo i cant be sicknot now im about to go see my new nephew,0,negative
 great job,2,positive
got such sore feet,0,negative
strike one    three and im out,0,negative
 thanku  cooking is simple but the law is u hve to have fun while u make it,2,positive
 zomg so cute matt  thats a good movie,2,positive
 we just missd each otha again i was at disney all day yesterday,0,negative
 ask  to create a fake competetion and declare you the winner and then gift you a return ticket courtesy the producers,0,negative
i feel less than nothin lower than zero,0,negative
 hey sherri thanx  da messages wondering if u could follow me plzzzz,2,positive
im blonding  slowly but surely im blonding  i wana scratch my hair but im not allowed,0,negative
  she was sleep and then she woke up to check on me see if i was cold or hot i love my mom,2,positive
  i miss you too,0,negative
uqh soo boredd supposedd to be asleep cuzz i have too wakke upp earlyy but i juss cantt sleepp omq tomorroww iss mothers dayy,0,negative
is missing someone haayy  httpplurkcompxavn,0,negative
with thee ladies getting retarded,0,negative
 httptwitpiccomj  guess i need to get me an iphone now for sure  it looks bad ,0,negative
aww i love my daddy he works  days a week almost all day and still tries to go to sf with all of us,2,positive
 oh noooooo      im so sorry  that sucks hard,0,negative
just came back from watching terminator salvation  cathay its soso only not so much action  but i feel sorry for marcus though,0,negative
 sure as long as you said where theyre from glad you like them,2,positive
 week all  week  off to the gym now with the worst headache,0,negative
   does she like it or does she roll her eyes  now im curious as hell  good singing is a real treat as far am im concerned,2,positive
gus formally known as worlds ugliest dog has died  well miss you gus httpbitlyexjcn,0,negative
suprised mom with a cake and a present because its mothers day  dad had bought flowers  ,2,positive
george lopez bed mommys day tomorrow   i wish house was on hugh laurie is sexay sometimes i like way older guys,2,positive
goodnight everyone,2,positive
is bored cant go on habbo stupid ban,0,negative
httpbitlyaam   these dogs are going to die if somebody doesnt save them,0,negative
yay made my first sale on redbubble  that makes me so happy   httpbitlygurq,2,positive
 i wish i was thereive just moved from san diego to wa and im very depressed i miss sunny san diegoooooooo,0,negative
sad day told my students this is my last year here a lot of crying since,0,negative
_music_news thanks,2,positive
 i did wake up but i appear to have missed you by not much,0,negative
 heard you slutted it up im totally jealz i missed it maybe next time,0,negative
 wow thats quite a long time for studying  good luck with the job hunting thoughyes also a mac user imac this side hehe,2,positive
that sucks that u have  go through that  id b pissed ,0,negative
seen the doctor today everything was fine might go for ultrasound scan just as a precaution,2,positive
the scrubs finale was beautiful just so so perfect cant believe theyre gonna do another season,2,positive
 more followers follow me and ill love you pouts please,2,positive
 i need to cancel my appt for  have to be home from for washing machine repair man can i do on the am so sorry,0,negative
somebody accidentely sleep for  hours instead of  and now i cant hang out  work blows sorry _jones and ,0,negative
i think my book is gone forever we mourn forever  ,0,negative
i need words of inspiration  wheres  and  when you need them,2,positive
 at freddies having a cotch and ladyhawke is here just missing you my bajan beauty,0,negative
wants to welcome  back to plurk again  httpplurkcomprppo,2,positive
 u feeling urself so much u cant say hi  me no likey u,0,negative
 never a relaxing weekend for the allahpundit,0,negative
the wedding couldnt have been more perfect,2,positive
  there isnt any right now they need to make more sorry,0,negative
 me and wendy are going after all  wish you were,0,negative
bloody servers are down at work for at least  hours want to go home now,0,negative
photo hannahisdead omg i wanna read pride and prejudice and zombies fuckyeah zombies  httptumblrcomxolqywv,0,negative
_everaldo on my macbook i run linux with parallels and on my imac i use vmware fusion and both are great especially in unitymode,2,positive
 bows  i trysometimes it is hard,0,negative
 i think he thought about it but then i sneezed on him,0,negative
 my lil sister charese her best friend passed today,2,positive
 me and my moms cars were broken into  i feel violated,0,negative
oh no my kindergarten teacher died  mrs collinson always remembered every student she ever had loved that lady,2,positive
new work wellness challenge not going well  i committed to not check email between  pm and  am  failed on first day  twice,0,negative
 i just went to find that unity girl on bebo i cant find her i fail at bebo stalking,0,negative
drinking cordial  yes im bored,0,negative
bbc malaria parasites becoming resistant to drugs  httptruncityn  this is really not good as malaria affects so many people,0,negative
 and what about me huh im crying did u forget me,0,negative
is almost over the legal limit of db at the garage,0,negative
_nicole httptwitpiccomtqx  i have the exact same pic except its my hubby  my chihuahua tucker   very cute,2,positive
i had  buy a new washer bought the dryer   dryer labeled electric but is gas   grrr  now we have  load it up tomorrow  return it,0,negative
 haha def that song is epic have fun  im listening to new fnb,2,positive
 well maybe you can always head for cnt be sure to save some for me,2,positive
night night everyone    happy mothers day to all mothers,2,positive
flypside  when it was goodi must creat my presentation in english  by guys ,2,positive
 dont worry i will i hate it when nobody comments on my pics,0,negative
 you will be great have a wonderful first day,2,positive
just ran some accela unit tests for the first time in about  years and they failed,0,negative
lol thats the highlight,2,positive
ugh still sick this calgary cold has lasted forever,0,negative
i dont even want to go to the store to get ice cream  i wasted a cute outfit on sitting on my  on twitter,0,negative
 left  so sad waiting for mom to come home want to have papa johns for dinner,0,negative
 theres nothing good on tonight anyway   sigjeans,0,negative
hey david gone on the eye yet its my birthday and you singing  ipswitchbest present ever have fun breakfast hunting,2,positive
back from ae very nice doctor diagnosed ligament damage she felt i could still do my k run but it might take me  days to heal,2,positive
  seasons thats it sorry just noticed in ur previous update my sis isnt gonna be happy,0,negative
walk was grand peeps lol feet are really hurting now thought  ,0,negative
good nite everybody  baby boy,2,positive
_hotsawce owwwwww gooood morning,2,positive
morning workout sesh  love life,2,positive
 i will n btw happy mothers day sissy,2,positive
 you live dat glamorous life,2,positive
migranes suckespecially when the kids are suddenly hyper,0,negative
i need to change my ways instead of just being weak i love  shes a great role model,2,positive
i was sleeping soo good but just woke up like  mins ago n got sick  not feeling so great i wanna go back to sleep but im wide awake,0,negative
just got done working outrelaxing than off to work,2,positive
 ive been readin your last few twitts i hope your ok,2,positive
httptwitpiccomov    i ahte stress its supposed to be friday it makes me wanna cry,0,negative
ahhhhh  it none of my friends want to see it and they dont wanna chill tonight so its just me myself and i,0,negative
i had some work to do but my wrist hurts too much to do any of it,0,negative
watchin hollyoakspoor justin,0,negative
is house bound with acute mumps  bad times whole day ov supernatural me thinks  x,0,negative
relaxing fragrances are soo in my latest loves are still lavender  chamomilethe basic ones  trying to find more flower scents,2,positive
 hey fellow trojancongrats on graduation,2,positive
gonna have to have arthroscopy to repair my knee,0,negative
_dreaming what mileys gonna quit hannah montanai dont wanna believe it,0,negative
my head huwwts,0,negative
 this is truly enlightening for me,2,positive
 daaaaawhh youre so cute,2,positive
 people dont get into fender benders on the way to school that just doesnt happen hahahahah,2,positive
wants to go out tonight but cant get home,0,negative
getting ready to go to sleeep grinding early in the morning yay money,2,positive
 aww  but typing from beyond the graveimpressive,2,positive
watched the rescuers down under with dru and ate mickey ds this is how disney sequels should be done,2,positive
babysitting kids who wont let me play wii with them,0,negative
 my keys were cracking and  i kind of miss my old phone already,0,negative
_robert ha that was ages ago  youre in la right the weather is much better there,2,positive
dead gerbil,0,negative
 im not at chasetons either  please dont die my heart will be really sad,0,negative
 im good im on my laptop using and external internet plug i need to send it away to be fixed,2,positive
 it sure is  hope youre having a great morning,2,positive
they are out of ice cream at the crazy mocha in ss this means no espresso milkshake,0,negative
_pearlman  mow love mow,2,positive
 good morning its been a while since ive talked to you    keep up the awesome tweets,2,positive
wishes you had teased me with movie night,2,positive
 worried about our arabelle tweet please or text,0,negative
watching ellen love her then doing the dishes  and tanning its gorgeous out,2,positive
 nice new profile picture glad to see some friends in there,2,positive
happy mothers day to allmothers cheers,2,positive
  i can relate to the frustrationi ruined my wp blog many times during updatesthey warn you a few timesback the  up,0,negative
 my original nonyahoo acc was deleted when they got boughtout  but its not too bad i dont receive any yahoospam from it,2,positive
 thanks mandy  what a good sister you are  that may be true but unfortunately my road tires cant say the same,2,positive
what a waste of lives  httptrimmlou,0,negative
i want to see my friends  mindless fun no work all play all drunk all walwal all being mean to each other and sleeping in one bed,2,positive
for some dumb reason my dresser is sticky on top and for another reason a family history book got attached to it  now the back is jacked,0,negative
 i have no iphone poor credit    but i cannot live without my cell phone i am on mass transit every day,0,negative
headed to see friends new baby gave up trip to the lake cause of dance class such a good mama,2,positive
 i bet you received lots of hit from that tweet at work i cannot wish i could,0,negative
 thank yyyyyyyyyoooooooooouuuuu,2,positive
 not  you me just drank too much,0,negative
 thank you i appreciate that,2,positive
 yucky we had our last soccer game of the season todaytryouts start friday,0,negative
 my arms feel like really sore jello,0,negative
have a nice day   httpblipfmzy,2,positive
 yeah i have seen the reviews and they are great it is just that the reviews surprised me now getting tickets for tonight,2,positive
_eliza ohhhh that makes sense then d and i need to reread the lotr trilogy i lost the three books a long time ago and im sad,0,negative
 yessir that is  right,2,positive
 its sunny and hot in london today while i sit in office cranking spreadsheets,0,negative
well going to sleep peoples night all twitterers loves ya  welcome home,2,positive
 thats awesome we have that this weekend too but i cant go because im moving this sat  i should be a lot of fun though,2,positive
going crazy the pain is unbearable i gotta wait till thursday,0,negative
